layer,head,openness,switchiness,frac_closed,ch_lo_frac,ch_hi_frac,min_ch_mean,n_ch_mean_lt_01
14,20,0.1635,0.0606,0.1377,0.3946,0.0001,0.0208,24
14,21,0.1528,0.0667,0.1962,0.3906,0.0,0.024,15
14,22,0.1564,0.057,0.1396,0.3469,0.0,0.0208,11
14,23,0.1404,0.0493,0.2219,0.4472,0.0,0.0278,27
14,24,0.4311,0.0641,0.0,0.012,0.0049,0.0531,1
14,25,0.208,0.0578,0.0304,0.2983,0.0001,0.0266,12
14,26,0.1869,0.1118,0.2267,0.3293,0.0,0.052,5
14,27,0.1749,0.0772,0.1639,0.3304,0.0,0.0172,10
14,28,0.154,0.0361,0.036,0.4743,0.0001,0.0277,49
14,29,0.1513,0.0678,0.236,0.4098,0.0,0.0223,24
14,30,0.1584,0.0731,0.2438,0.3775,0.0,0.0327,8
14,31,0.1837,0.0773,0.1159,0.2802,0.0,0.0536,12
15,0,0.0427,0.0125,0.9987,0.9206,0.0,0.0071,125
15,1,0.0503,0.0108,0.9991,0.8933,0.0006,0.0127,119
15,2,0.0978,0.065,0.6645,0.6562,0.0,0.0272,76
15,3,0.0266,0.0065,1.0,0.9647,0.0,0.0083,127
15,4,0.0319,0.0072,1.0,0.9511,0.0,0.0105,123
15,5,0.0326,0.0093,1.0,0.9436,0.0,0.0059,122
15,6,0.056,0.0186,0.9694,0.8539,0.0,0.0101,110
15,7,0.061,0.0212,0.9494,0.8387,0.0,0.0137,114
15,8,0.1227,0.0522,0.3692,0.4867,0.0,0.0094,46
15,9,0.0237,0.0067,1.0,0.9738,0.0,0.0028,127
15,10,0.1487,0.0863,0.3107,0.3831,0.0,0.043,6
15,11,0.0399,0.01,0.9999,0.9191,0.0,0.007,122
15,12,0.0442,0.0127,0.9963,0.9134,0.0,0.0077,121
15,13,0.1332,0.0478,0.2496,0.4474,0.0,0.0183,39
15,14,0.0317,0.0086,0.9999,0.954,0.0,0.0092,126
15,15,0.1341,0.0795,0.3915,0.4666,0.0,0.0104,27
15,16,0.0989,0.0643,0.6312,0.6407,0.0,0.0515,69
15,17,0.1458,0.0525,0.1954,0.3538,0.0,0.0184,15
15,18,0.0821,0.0456,0.7139,0.7199,0.0,0.0108,84
15,19,0.0612,0.024,0.9376,0.8459,0.0,0.0201,116
15,20,0.1902,0.0694,0.0473,0.1385,0.0,0.0303,2
15,21,0.0642,0.0379,0.8598,0.8229,0.0,0.0276,117
15,22,0.0339,0.0139,0.9988,0.9427,0.0,0.0085,124
15,23,0.0897,0.0601,0.6608,0.6713,0.0,0.0501,94
15,24,0.1006,0.0353,0.5385,0.6199,0.0,0.0125,66
15,25,0.0887,0.0533,0.6847,0.6827,0.0,0.0126,86
15,26,0.1251,0.0873,0.4855,0.519,0.0,0.0676,13
15,27,0.2143,0.1075,0.1416,0.2216,0.0,0.1119,0
15,28,0.0825,0.0528,0.725,0.7195,0.0,0.0089,96
15,29,0.0289,0.0068,1.0,0.9566,0.0,0.0077,124
15,30,0.1436,0.0505,0.1916,0.3866,0.0,0.0275,21
15,31,0.1222,0.0549,0.383,0.5516,0.0,0.0197,48
16,0,0.1741,0.0786,0.1396,0.3265,0.0,0.0474,16
16,1,0.2155,0.0794,0.0421,0.2375,0.0001,0.0616,6
16,2,0.2248,0.0658,0.013,0.1566,0.0,0.0547,2
16,3,0.2326,0.0837,0.0167,0.126,0.0,0.0473,1
16,4,0.2508,0.08,0.0088,0.1265,0.0,0.0547,4
16,5,0.1674,0.0695,0.1728,0.3431,0.0001,0.0592,17
16,6,0.2014,0.0491,0.0177,0.2477,0.0,0.037,18
16,7,0.5184,0.0424,0.0,0.0011,0.0055,0.2811,0
16,8,0.1812,0.1045,0.2076,0.3462,0.0004,0.0115,11
16,9,0.1917,0.1394,0.2553,0.3588,0.0007,0.0841,3
16,10,0.2297,0.0619,0.0001,0.2096,0.0004,0.0317,11
16,11,0.1728,0.0674,0.1237,0.3222,0.0,0.0431,13
16,12,0.1889,0.1132,0.2128,0.3343,0.0001,0.0452,7
16,13,0.1715,0.0765,0.1478,0.3193,0.0001,0.0565,6
16,14,0.2224,0.0664,0.018,0.2328,0.0001,0.0327,8
16,15,0.1308,0.0591,0.3489,0.4978,0.0,0.0214,30
16,16,0.4762,0.0663,0.0,0.0016,0.003,0.2967,0
16,17,0.3341,0.0653,0.0,0.1141,0.001,0.0719,2
16,18,0.2569,0.0623,0.0011,0.0546,0.0,0.1465,0
16,19,0.23,0.0465,0.0005,0.1603,0.0,0.062,5
16,20,0.2433,0.074,0.0135,0.0903,0.0,0.1613,0
16,21,0.4273,0.0777,0.0,0.0148,0.0009,0.0574,1
16,22,0.2855,0.0741,0.0081,0.0857,0.0,0.1329,0
16,23,0.3218,0.083,0.0002,0.0289,0.0,0.1741,0
16,24,0.1721,0.0786,0.13,0.3048,0.0,0.048,4
