layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
23,QK,23,1,0.9160904884338379,35.185,124,127,,1
23,QK,24,1,1.003511905670166,25.088,122,128,,1
23,QK,25,1,1.0392078161239624,22.724,123,127,,1
23,QK,26,1,0.8923181891441345,30.833,125,128,,1
23,QK,27,1,0.7744913101196289,30.862,124,128,,1
23,QK,28,1,0.9266356825828552,17.926,122,128,,1
23,QK,29,1,0.9389573335647583,23.686,122,128,,1
23,QK,30,1,1.0086112022399902,22.307,122,127,,1
23,QK,31,1,0.9360784888267517,33.322,122,128,,1
23,V,0,0,1.3898520469665527,27.039,125,128,6.029776e-03,
23,V,1,1,0.9668694734573364,59.316,123,127,6.228811e-03,
23,VO,0,0,0.6634463667869568,28.236,123,128,,
23,VO,1,0,0.6038627028465271,37.23,122,128,,
23,VO,2,0,0.8933129906654358,15.944,122,128,,
23,VO,3,0,0.6425300240516663,28.011,122,128,,
23,VO,4,0,0.5967967510223389,32.582,122,128,,
23,VO,5,0,0.8433837294578552,17.674,120,127,,
23,VO,6,0,0.6432833075523376,34.357,121,127,,
23,VO,7,0,0.8036243319511414,20.089,123,128,,
23,VO,8,0,0.7916664481163025,20.874,122,128,,
23,VO,9,0,0.7417618632316589,25.098,122,127,,
23,VO,10,0,0.8265469074249268,26.848,120,127,,
23,VO,11,0,0.6170210838317871,25.926,123,128,,
23,VO,12,0,0.6300346851348877,34.938,122,128,,
23,VO,13,0,0.5683915615081787,36.188,123,128,,
23,VO,14,0,0.7195503115653992,27.478,121,128,,
23,VO,15,0,0.626379132270813,30.57,123,128,,
23,VO,16,1,0.7934432625770569,31.124,118,126,,
23,VO,17,1,0.6021449565887451,31.685,123,128,,
23,VO,18,1,0.5879579782485962,28.799,122,127,,
23,VO,19,1,0.5927270650863647,30.185,122,128,,
23,VO,20,1,0.5356800556182861,38.71,122,128,,
23,VO,21,1,0.7443727850914001,41.048,118,126,,
23,VO,22,1,0.5845509767532349,36.478,121,127,,
23,VO,23,1,0.5118322372436523,39.346,123,128,,
23,VO,24,1,0.6177133321762085,30.58,121,127,,
23,VO,25,1,0.7304136753082275,40.902,120,126,,
23,VO,26,1,0.6115058660507202,28.756,122,127,,
23,VO,27,1,0.5512717366218567,32.051,122,127,,
23,VO,28,1,0.5575814247131348,33.739,123,128,,
23,VO,29,1,0.5784727931022644,38.775,123,127,,
23,VO,30,1,0.6386298537254333,42.117,122,127,,
23,VO,31,1,0.561150848865509,36.365,123,128,,
24,G,0,0,3.7667014598846436,4.007,126,128,6.110209e-03,
24,G,1,0,2.2954204082489014,7.477,126,128,5.150368e-03,
24,G,2,0,3.5484018325805664,4.846,126,128,6.315212e-03,
24,G,3,0,2.6966960430145264,8.47,125,128,6.392024e-03,
24,G,4,0,3.264925241470337,5.335,125,128,6.162615e-03,
24,G,5,0,3.3372068405151367,8.503,124,128,7.956806e-03,
24,G,6,0,3.816087007522583,3.697,125,128,5.935719e-03,
24,G,7,0,2.9602267742156982,9.957,125,128,7.616628e-03,
24,G,8,0,3.287428140640259,5.592,125,128,6.416144e-03,
24,G,9,0,3.1772210597991943,6.356,124,128,6.504858e-03,
24,G,10,0,3.5311758518218994,4.711,126,128,6.227418e-03,
24,G,11,0,2.944075107574463,7.874,124,128,6.698946e-03,
24,G,12,0,2.7457127571105957,7.888,125,128,6.285971e-03,
24,G,13,0,3.145275354385376,4.792,125,128,5.673216e-03,
24,G,14,0,3.091850519180298,7.116,125,128,6.690297e-03,
24,G,15,0,3.5589473247528076,5.743,125,128,6.915303e-03,
24,G,16,1,2.958799123764038,4.94,125,128,5.305125e-03,
24,G,17,1,3.394780397415161,4.347,124,128,5.708098e-03,
24,G,18,1,3.7848379611968994,3.421,123,128,5.631570e-03,
24,G,19,1,2.3819661140441895,5.51,124,128,4.549769e-03,
24,G,20,1,4.336483478546143,3.097,124,128,6.123043e-03,
24,G,21,1,3.3762824535369873,4.699,124,128,5.875411e-03,
24,G,22,1,3.376124382019043,5.016,124,128,6.079822e-03,
24,G,23,1,3.7054436206817627,4.121,124,128,6.052618e-03,
24,G,24,1,3.672391891479492,3.891,124,128,5.872484e-03,
24,G,25,1,3.736687660217285,3.867,124,128,5.925237e-03,
24,G,26,1,3.0424585342407227,5.214,123,128,5.648353e-03,
24,G,27,1,3.8373334407806396,3.545,124,128,5.811538e-03,
24,G,28,1,3.7867486476898193,4.157,125,128,6.222334e-03,
