layer,matrix,head,kv_group,sigma1,stable_rank,er99,er999,head_rms_raw,exact
3,K,6,6,0.2038351148366928,23.642,125,128,2.701879e-02,
3,K,7,7,0.18501855432987213,27.659,124,128,2.690706e-02,
3,V,0,0,0.15077346563339233,42.665,124,128,2.569191e-02,
3,V,1,1,0.12397909164428711,47.556,125,128,2.228896e-02,
3,V,2,2,0.1586037278175354,55.418,125,128,3.183154e-02,
3,V,3,3,0.12975551187992096,47.84,126,128,2.382955e-02,
3,V,4,4,0.130632221698761,66.698,126,128,2.894592e-02,
3,V,5,5,0.13800500333309174,63.868,126,128,3.087831e-02,
3,V,6,6,0.12102525681257248,86.079,126,128,3.163280e-02,
3,V,7,7,0.14156614243984222,49.432,126,128,2.714672e-02,
3,O,0,0,3.2874932289123535,29.967,123,128,2.485425e-02,
3,O,1,0,3.8375442028045654,20.381,123,128,2.392645e-02,
3,O,2,0,3.606126546859741,22.936,123,128,2.385122e-02,
3,O,3,0,2.9148290157318115,35.517,123,128,2.399061e-02,
3,O,4,1,3.5136501789093018,28.197,122,127,2.576727e-02,
3,O,5,1,3.5279574394226074,22.328,123,128,2.302273e-02,
3,O,6,1,3.2340738773345947,21.577,124,128,2.074690e-02,
3,O,7,1,3.7263195514678955,20.077,123,128,2.305883e-02,
3,O,8,2,3.5418689250946045,37.675,123,128,3.002408e-02,
3,O,9,2,2.6900904178619385,52.844,125,128,2.700705e-02,
3,O,10,2,3.1698577404022217,31.814,125,128,2.469213e-02,
3,O,11,2,3.4353058338165283,31.783,122,128,2.674697e-02,
3,O,12,3,3.116495370864868,24.655,125,128,2.137140e-02,
3,O,13,3,3.585115671157837,29.831,123,128,2.704255e-02,
3,O,14,3,3.723525285720825,24.672,124,128,2.554260e-02,
3,O,15,3,3.156912088394165,29.755,124,128,2.378211e-02,
3,O,16,4,3.169525384902954,38.266,125,128,2.707783e-02,
3,O,17,4,2.8877644538879395,43.948,124,128,2.643890e-02,
3,O,18,4,2.800428867340088,44.152,125,128,2.569862e-02,
3,O,19,4,3.0780155658721924,39.714,125,128,2.678892e-02,
3,O,20,5,2.6914288997650146,57.816,125,128,2.826304e-02,
3,O,21,5,2.7612600326538086,49.43,125,128,2.681090e-02,
3,O,22,5,3.014678716659546,37.363,124,128,2.544904e-02,
3,O,23,5,2.900702714920044,44.888,125,128,2.683978e-02,
3,O,24,6,2.612636089324951,61.787,126,128,2.836198e-02,
3,O,25,6,2.5038902759552,66.108,126,128,2.811594e-02,
3,O,26,6,2.5435633659362793,67.587,126,128,2.887926e-02,
3,O,27,6,2.991213321685791,50.518,126,128,2.936168e-02,
3,O,28,7,4.190548419952393,20.824,125,128,2.640969e-02,
3,O,29,7,2.983518362045288,39.136,124,128,2.577675e-02,
3,O,30,7,3.0145535469055176,39.614,124,128,2.620343e-02,
3,O,31,7,3.1986842155456543,32.369,125,128,2.513317e-02,
3,VO,0,0,0.3827878534793854,17.859,119,126,,
3,VO,1,0,0.46994534134864807,12.707,118,126,,
3,VO,2,0,0.43932902812957764,14.45,118,126,,
3,VO,3,0,0.38928890228271484,17.137,118,126,,
3,VO,4,1,0.372972697019577,15.868,118,126,,
